"createDt","deathCnt","defCnt","gubun","gubunCn","gubunEn","incDec","isolClearCnt","isolIngCnt","localOccCnt","overFlowCnt","qurRate","seq","stdDay","updateDt"
2020-12-25,"201","7630","대구","大邱","Daegu","23","7155","274","21","2","313.16","6604","2020년 12월 25일 00시","null"
2020-12-25,"31","1637","부산","釜山","Busan","22","1143","463","21","1","47.98","6603","2020년 12월 25일 00시","null"
2020-12-25,"148","16602","서울","首<U+5C14>","Seoul","552","9320","7134","550","2","170.57","6602","2020년 12월 25일 00시","null"
2020-12-25,"773","54770","합계","合<U+8BA1>","Total","1241","38048","15949","1216","25","105.64","6601","2020년 12월 25일 00시","null"
2020-12-24,"1","2381","검역","隔離區","Lazaretto","11","1661","719","0","11","-","6600","2020년 12월 24일 00시","null"
2020-12-24,"0","330","제주","<U+6D4E>州","Jeju","26","116","214","26","0","49.20","6599","2020년 12월 24일 00시","null"
2020-12-24,"3","1145","경남","<U+5E86>南","Gyeongsangnam-do","21","811","331","21","0","34.06","6598","2020년 12월 24일 00시","null"
2020-12-24,"61","2169","경북","<U+5E86>北","Gyeongsangbuk-do","50","1742","366","50","0","81.46","6597","2020년 12월 24일 00시","null"
2020-12-24,"5","527","전남","全南","Jeollanam-do","2","450","72","2","0","28.26","6596","2020년 12월 24일 00시","null"
2020-12-24,"7","725","전북","全北","Jeollabuk-do","12","483","235","12","0","39.89","6595","2020년 12월 24일 00시","null"
2020-12-24,"21","1347","충남","忠南","Chungcheongnam-do","31","1007","319","29","2","63.46","6594","2020년 12월 24일 00시","null"
2020-12-24,"15","939","충북","忠北","Chungcheongbuk-do","47","484","440","46","1","58.71","6593","2020년 12월 24일 00시","null"
2020-12-24,"13","1033","강원","江原","Gangwon-do","21","735","285","21","0","67.05","6592","2020년 12월 24일 00시","null"
2020-12-24,"201","12744","경기","京畿","Gyeonggi-do","285","8982","3561","277","8","96.18","6591","2020년 12월 24일 00시","null"
2020-12-24,"0","133","세종","世宗","Sejong","2","123","10","1","1","38.85","6590","2020년 12월 24일 00시","null"
2020-12-24,"22","595","울산","蔚山","Ulsan","9","343","230","9","0","51.87","6589","2020년 12월 24일 00시","null"
2020-12-24,"6","754","대전","大田","Daejeon","11","604","144","11","0","51.15","6588","2020년 12월 24일 00시","null"
2020-12-24,"4","956","광주","光州","Gwangju","15","784","168","14","1","65.63","6587","2020년 12월 24일 00시","null"
2020-12-24,"21","2483","인천","仁川","Incheon","53","1703","759","53","0","84.00","6586","2020년 12월 24일 00시","null"
2020-12-24,"200","7607","대구","大邱","Daegu","26","7134","273","26","0","312.21","6585","2020년 12월 24일 00시","null"
2020-12-24,"29","1615","부산","釜山","Busan","44","1092","494","43","1","47.34","6584","2020년 12월 24일 00시","null"
2020-12-24,"147","16050","서울","首<U+5C14>","Seoul","319","9171","6732","314","5","164.89","6583","2020년 12월 24일 00시","null"
2020-12-24,"756","53533","합계","合<U+8BA1>","Total","985","37425","15352","955","30","103.25","6582","2020년 12월 24일 00시","null"
